% Model,Straight_WG_modes_top_H_150_W_1000_LOCAs.mph
% Version,COMSOL 5.5.0.292
% Date,"Nov 29 2021, 14:38"
% Table,P_fun - Surface Integration 
% Lambda_0 (m),lambda,Effective mode index (1),sqrt(ewfd2.Poavx^2+ewfd2.Poavy^2+ewfd2.Poavz^2) (W)
6.2E-7,1.6721974239886634+4.756929154842379E-15i,1.6721974239886601+4.7569291548423555E-15i,3.77114418978321E-13
6.6E-7,1.6503494277678135+7.385146726887138E-14i,1.6503494277678188+7.385146726887254E-14i,3.3367753033833553E-13
7.0E-7,1.6293354732263121+8.231683140507097E-13i,1.629335473226313+8.231683140507095E-13i,2.9887159243702125E-13
7.4E-7,1.6091890617528932+6.912679547778757E-12i,1.6091890617528906+6.912679547778818E-12i,2.7091166719989555E-13
7.799999999999999E-7,1.589938729446647+4.569803688442158E-11i,1.5899387294466538+4.5698036884421425E-11i,2.485012885629673E-13
8.2E-7,1.5716106228144862+2.4604941250645797E-10i,1.5716106228144906+2.4604941250645885E-10i,2.3070279417280795E-13
8.6E-7,1.5542307346756599+1.109099701214066E-9i,1.5542307346756712+1.1090997012140587E-9i,2.1685469503312511E-13
9.000000000000001E-7,1.5378268847753722+4.279119432608796E-9i,1.5378268847753798+4.279119432608823E-9i,2.065226416848289E-13
